LocationID,latitude,longitude
1,40.7769,-73.9524
4,40.7614,-73.9776
7,40.7489,-73.9680
12,40.6895,-73.9936
13,40.7197,-74.0060
24,40.7267,-73.9864
41,40.7290,-73.9520
42,40.7639,-73.9732
43,40.7545,-73.9710
45,40.7620,-73.9791
48,40.7583,-73.9851
50,40.7613,-73.9787
68,40.7490,-73.9680
74,40.7366,-74.0018
75,40.7540,-73.9756
79,40.7673,-73.9874
87,40.7440,-73.9887
88,40.7527,-73.9772
90,40.7588,-73.9776
100,40.7666,-73.9946
107,40.7518,-73.9775
113,40.7625,-73.9834
114,40.7666,-73.9595
116,40.7089,-73.9482
120,40.7424,-73.9896
125,40.7450,-73.9918
127,40.7433,-73.9811
128,40.7502,-73.9935
132,40.6413,-73.7781
137,40.7741,-73.9867
138,40.7769,-73.8740
140,40.7589,-73.9884
141,40.7675,-73.9882
142,40.7562,-73.9901
143,40.7588,-73.9852
144,40.7637,-73.9889
148,40.7523,-73.9791
151,40.7433,-73.9889
152,40.7489,-73.9890
153,40.7435,-73.9826
158,40.7574,-73.9901
161,40.7589,-73.9852
162,40.7637,-73.9722
163,40.7599,-73.9897
164,40.7623,-73.9831
166,40.6413,-73.7781
170,40.7489,-73.9950
186,40.7686,-73.9918
209,40.7589,-73.9852
211,40.7489,-73.9890
224,40.7489,-73.9890
229,40.7562,-73.9725
230,40.7588,-73.9825
231,40.7562,-73.9831
232,40.7627,-73.9896
233,40.7588,-73.9852
234,40.7562,-73.9830
236,40.7545,-73.9922
237,40.7588,-73.9852
238,40.7625,-73.9835
239,40.7545,-73.9810
240,40.7588,-73.9870
241,40.7562,-73.9900
242,40.7588,-73.9852
243,40.7666,-73.9830
244,40.7562,-73.9725
246,40.7562,-73.9831
249,40.7588,-73.9852
261,40.7666,-73.9588
262,40.7649,-73.9647
263,40.7603,-73.9689

