VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2019-03-01T00:22:19.000,2019-03-01T01:15:00.000,2.0,16.86,3.0,N,114,1,1,72.5,0.5,0.0,12.57,10.5,0.3,96.37,0.0,
2,2019-03-01T07:31:55.000,2019-03-01T08:06:26.000,1.0,17.78,3.0,N,230,1,1,66.0,0.0,0.0,19.7,12.5,0.3,98.5,0.0,
2,2019-03-01T07:37:48.000,2019-03-01T08:20:26.000,1.0,18.03,3.0,N,163,1,1,69.0,0.0,0.0,16.36,12.5,0.3,98.16,0.0,
2,2019-03-01T10:03:55.000,2019-03-01T10:35:38.000,5.0,13.97,3.0,N,249,1,2,59.5,0.0,0.0,0.0,15.4,0.3,75.2,0.0,
1,2019-03-01T10:08:34.000,2019-03-01T10:35:42.000,1.0,16.8,3.0,N,48,1,1,63.5,0.0,0.0,10.0,16.5,0.3,90.3,0.0,
1,2019-03-01T15:31:29.000,2019-03-01T16:22:55.000,1.0,19.3,3.0,N,100,1,1,76.0,0.0,0.0,0.0,10.5,0.3,86.8,0.0,
2,2019-03-01T16:13:18.000,2019-03-01T17:34:53.000,1.0,25.36,1.0,N,138,1,1,79.5,1.0,0.5,25.52,18.26,0.3,127.58,2.5,
1,2019-03-01T17:10:11.000,2019-03-01T18:07:54.000,1.0,18.2,3.0,N,233,1,1,74.0,1.0,0.0,21.9,12.5,0.3,109.7,0.0,
1,2019-03-02T05:04:36.000,2019-03-02T05:44:31.000,1.0,18.5,3.0,N,43,1,1,67.5,0.5,0.0,23.6,10.5,0.3,102.4,0.0,
2,2019-03-02T07:46:06.000,2019-03-02T08:19:47.000,1.0,16.38,3.0,N,233,1,1,63.5,0.0,0.0,13.37,10.5,0.3,87.67,0.0,
