cluster,latitude,longitude
0,40.758728639235024,-73.98518048931494
1,40.641299996671385,-73.77810000528343
2,40.7768999990268,-73.87400000089222
3,40.765963402857835,-73.96139239237782
4,40.74890034528317,-73.99499960136107
5,40.755454039477044,-73.97184179479967
6,40.72431862653493,-73.95111496379634
7,40.752358529762056,-73.97760051477218
8,40.767901750506546,-73.98779218786093
9,40.762596055991395,-73.97115217791703
10,40.767874501148576,-73.99281570007048
11,40.718262331220615,-74.00540969789452
12,40.75694916528856,-73.99043244250815
13,40.73660000026477,-74.00180000040233
14,40.75989176889373,-73.97802186096382
15,40.74561570709372,-73.9893652585673
16,40.74899459236818,-73.96799999730625
17,40.76243265777338,-73.98331289883406
18,40.72670000027207,-73.98640000035125
19,40.75656753985,-73.98246718330584
